**** All Elevator Calls (time,src,dest,state,elev dt) stage 0 ****
Elevator call,0.437472729039321,0,1,3,0, Done, dt, 22.56252727096068
Elevator call,2.2094056301593525,0,1,3,0, Done, dt, 20.790594369840647
Elevator call,18.77299317966884,1,0,3,0, Done, dt, 15.227006820331159
Elevator call,19.590869649656987,0,1,3,0, Done, dt, 35.40913035034301
Elevator call,29.579433566814906,0,1,3,0, Done, dt, 25.420566433185094
Elevator call,33.242673193933555,0,1,3,0, Done, dt, 21.757326806066445
Elevator call,52.96277472128405,0,1,3,0, Done, dt, 24.03722527871595
Elevator call,64.38547514955395,1,0,3,0, Done, dt, 33.614524850446045
Elevator call,72.26161212799506,1,0,3,0, Done, dt, 25.738387872004935
Elevator call,80.56754743307536,1,0,3,0, Done, dt, 17.43245256692464
